sentence_index,original,compressed,decompressed,achieved_compression_ratio,compression_percentage,composite_score,semantic_interpretation,embedding_similarity,llm_similarity,compression_success,model_used,provider
0,"The ancient Mediterranean trading routes, established by Phoenician merchants around 1200 BCE, fundamentally transformed economic relationships between distant civilizations by enabling the exchange of not only goods like purple dye, cedar wood, and precious metals, but also ideas, technologies, and cultural practices that would shape the development of Western civilization.","Phoenicians (c.1200 BCE): 🌊🔗Med, 🛳️💱🧠, ⚒️West civ.","The Phoenicians, around 1200 BCE, were a seafaring people who connected the Mediterranean world through maritime trade, exchange of goods, and the spread of ideas; their innovations and craftsmanship significantly influenced the development of Western civilization.",0.1326259946949602,86.73740053050398,0.4971912809148704,Moderate,0.7004817128181458,0.7,True,gpt-4.1,openai
1,"Climate scientists at the International Panel on Climate Change have determined through extensive analysis of ice core samples, satellite temperature measurements, and oceanic thermal data that global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times, with the most dramatic increases occurring in the Arctic regions where permafrost melting is accelerating at unprecedented rates.","🌍+1.1°C↑vs1850s;❄️Arctic↑fastest,🧊permafrost⏩(IPCC,data)","The global average temperature has increased by 1.1 degrees Celsius compared to the 1850s; the Arctic is warming at the fastest rate, and permafrost is thawing rapidly, according to data from the Intergovernmental Panel on Climate Change (IPCC).",0.1311475409836065,86.88524590163934,0.564194111072972,Moderate,0.8237144351005554,0.8,True,gpt-4.1,openai
2,"The human brain's neuroplasticity allows for remarkable adaptation throughout life, as demonstrated by stroke patients who recover speech and motor functions through intensive rehabilitation therapy that essentially rewires neural pathways, creating new connections that bypass damaged areas and restore cognitive abilities previously thought to be permanently lost.","🧠↔️🛠️=🆕🛤️→💪🧑‍🦽:rehab rewires brain, restores skills","Rehabilitation creates new neural pathways in the brain, which helps restore lost abilities and strengthens a person's capacity to recover.",0.1393442622950819,86.0655737704918,0.4472266110282613,Moderate,0.7281728982925415,0.6,True,gpt-4.1,openai
3,"Modern cryptocurrency blockchain technology utilizes distributed ledger systems with cryptographic hash functions to create immutable transaction records that are verified by thousands of independent nodes worldwide, eliminating the need for traditional banking intermediaries while consuming enormous amounts of electrical energy in the process.","⛓️=🌐🔒txs,🪪+🔗,♻️no🏦,⚡⬆️,📝immutable","A blockchain is a decentralized and secure system for recording transactions, where each transaction is linked to the previous one, ensuring transparency and immutability without the need for a central authority, enabling fast processing and permanent, tamper-proof records.",0.0953757225433526,90.46242774566474,0.4076554033831618,Moderate,0.6545876860618591,0.6,True,gpt-4.1,openai
4,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, uses its 6.5-meter segmented mirror and advanced infrared instruments to observe the universe's earliest galaxies, some formed just 400 million years after the Big Bang, providing unprecedented insights into cosmic evolution and star formation processes.",JWST@L₂(1.5M㎞):6.5m IR↘️400Myr➔galaxies🌌&evolution✨,"The James Webb Space Telescope, located at the second Lagrange point 1.5 million kilometers from Earth, uses its 6.5-meter infrared telescope to look back 400 million years after the Big Bang, enabling the study of the earliest galaxies and their evolution.",0.136,86.4,0.7048242915475134,Good,0.9399391412734984,0.8,True,gpt-4.1,openai
5,"Quantum entanglement, described by Einstein as 'spooky action at a distance,' occurs when two particles become correlated in such a way that measuring the quantum state of one particle instantly determines the state of its partner, regardless of the physical distance separating them, challenging our classical understanding of locality and causality in physics.","⚛️🔗: 📏1⃣⇨⚛️2⃣🎯, ⏱️=0, 🚫🌍📏/⏳","Quantum entanglement means that measuring one particle instantly determines the state of the other, regardless of the distance between them, with no information traveling through space or time.",0.074585635359116,92.5414364640884,0.5315679252603486,Moderate,0.7533828020095825,0.7,True,gpt-4.1,openai
6,"The Amazon rainforest ecosystem supports over 400 billion individual trees representing approximately 16,000 different species, creates roughly 20% of the world's oxygen, and serves as home to an estimated 10% of Earth's biodiversity, while also playing a crucial role in global climate regulation through its massive carbon storage capacity.","🌎Amazon:400B🌳/16K🦠,20%O₂,10%bio,🌡️reg,coreC","The Amazon rainforest covers 400 billion trees across 16,000 species, harbors immense biodiversity including microbes, produces 20% of the world’s oxygen, contains 10% of all known biological species, regulates the global climate, and is essential to the health of the planet’s core carbon cycle.",0.1257309941520467,87.42690058479532,0.6126317569660836,Good,0.9197136759757996,0.8,True,gpt-4.1,openai
7,"Machine learning algorithms trained on vast datasets of human language can now generate coherent text, translate between languages, answer complex questions, and even write computer code, but they fundamentally operate through statistical pattern recognition rather than true understanding, raising philosophical questions about the nature of intelligence and consciousness.",🤖=ML(data)→gen+trans+code+ans; stats≠understand; AI≠🧠?,"A robot is created by applying machine learning to data, which enables it to generate content, translate languages, write code, and answer questions; however, performing statistical operations is not the same as truly understanding, and artificial intelligence is not equivalent to the human brain.",0.1443850267379679,85.56149732620321,0.4882107523981948,Moderate,0.6429162621498108,0.7,True,gpt-4.1,openai
8,"The Great Pacific Garbage Patch, a massive accumulation of plastic debris floating in the North Pacific Ocean between Hawaii and California, covers an area larger than twice the size of Texas and contains an estimated 80,000 metric tons of plastic waste that poses severe threats to marine life through ingestion, entanglement, and toxic chemical leaching.","🌊🗑️>2×TX, 80kT plastic, N Pac(HI–CA), 🐟:🍽️,🪤,☠️","More than twice the amount of trash, totaling 80,000 tons of plastic, is accumulating in the North Pacific Ocean between Hawaii and California; this pollution is entering the food chain through fish, leading to human consumption, entanglement of marine life, and potentially deadly consequences.",0.1320224719101123,86.79775280898876,0.5675237881800338,Moderate,0.8285378217697144,0.7,True,gpt-4.1,openai
9,"CRISPR-Cas9 gene editing technology allows scientists to make precise modifications to DNA sequences by using a guide RNA to direct the Cas9 enzyme to specific genomic locations where it cuts the double helix, enabling researchers to delete, insert, or replace genetic material with unprecedented accuracy and potentially cure inherited diseases.",CRISPR🧬+gRNA🔗Cas9✂️⇒Δ🧬(del/ins/rep)⇒🩺🦠✔️,"CRISPR technology, using a guide RNA to direct the Cas9 enzyme, enables precise editing of DNA by making targeted deletions, insertions, or replacements, which can lead to successful medical treatments for genetic diseases.",0.1156069364161849,88.43930635838151,0.6255525266792729,Good,0.9581413269042968,0.8,True,gpt-4.1,openai
